개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,
광주광역시 누리봄 커뮤니티센터 회의실,광주광역시 누리봄 커뮤니티센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,139,"음향, 냉난방, 조명, 빔프로젝트","전화, 방문",,"광주광역시 북구 금녕길61번길 2, 2층",,광주광역시 북구청,두암2동주민센터,062-410-8779,,35.174659,126.930615,2018-02-26,
광주광역시 북구 문화동 주민자치센터 회의실,광주광역시 북구 문화동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,40,59,"책상, 의자, 냉난방, 주차장",방문,,광주광역시 북구 군왕로 233,,문화동주민센터,문화동주민센터,062-410-8734,,35.181439,126.936870,2018-02-26,
광주광역시 북구 문흥1동 주민자치센터 다목적실(2층),광주광역시 북구 문흥1동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,50,86,"음향, 테이블, 의자, 냉난방","방문, 전화",,광주광역시 북구 대천로 140-3,,문흥1동주민센터,문흥1동주민센터,062-410-8744,,35.186891,126.921692,2018-02-26,
광주광역시 북구 문흥1동 주민자치센터 회의실(2층),광주광역시 북구 문흥1동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,10,27,"음향, 테이블, 의자, 냉난방","방문, 전화",,광주광역시 북구 대천로 140-3,,문흥1동주민센터,문흥1동주민센터,062-410-8744,,35.186891,126.921692,2018-02-26,
광주광역시 북구 문흥1동 주민자치센터 프로그램실(지하),광주광역시 북구 문흥1동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,80,170,"음향, 냉난방","방문, 전화",,광주광역시 북구 대천로 140-3,,문흥1동주민센터,문흥1동주민센터,062-410-8744,,35.186891,126.921692,2018-02-26,
광주광역시 북구 문흥2동 주민자치센터 강의실(취미교양실),광주광역시 북구 문흥2동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,20,30,"책상, 의자, 냉난방, 주차장","방문, 전화",,광주광역시 북구 문산로 25,,문흥2동주민센터,문흥2동주민센터,062-410-8754,,35.184307,126.921954,2018-02-26,
광주광역시 북구 임동 안심사랑방,광주광역시 북구 임동 안심사랑방,회의실,없음,18:00,20:00,18:00,20:00,N,,,,,30,70,"음향, 빔프로젝트, 냉난방, 책상, 의자","방문, 전화",,광주광역시 북구 자동차로47번길 50,,임동 안심사랑방,임동 안심사랑방,062-410-8649,,35.164121,126.898835,2018-02-26,
광주광역시 북구 임동 주민자치센터 다목적실,광주광역시 북구 임동 주민자치센터,회의실,"매주 토,일요일, 법정 공휴일",09:00,18:00,00:00,00:00,N,,,,,30,98,"음향, 빔프로젝트, 냉난방, 조명","방문, 전화",,광주광역시 북구 서림로 53,,임동주민센터,임동주민센터,062-410-8649,,35.165820,126.894274,2018-02-26,
종합경기장 체력단련실,동해웰빙스포츠타운,기타,"매월 첫째주, 셋째주 월요일",05:00,22:00,05:00,20:00,Y,2,1000,,,30,178,"샤워장, 화장실",방문,http://www.dhsisul.org/,강원도 동해시 덕골길10,강원도 동해시 천곡동 363-1번지,강원도 동해시시설관리공단,체육시설팀,033-539-3560,http://www.dhsisul.org/,37.5154621,129.1007511,2018-01-01,
종합경기장 탁구장,동해웰빙스포츠타운,기타,"매월 첫째주, 셋째주 월요일",05:00,22:00,05:00,20:00,Y,2,1000,,,30,192,,방문,http://www.dhsisul.org/,강원도 동해시 덕골길10,강원도 동해시 천곡동 363-1번지,강원도 동해시시설관리공단,체육시설팀,033-539-3560,http://www.dhsisul.org/,37.5154621,129.1007511,2018-01-01,
종합경기장 테니스장,동해웰빙스포츠타운,테니스장,"매월 첫째주, 셋째주 월요일",06:00,22:00,06:00,20:00,Y,2,2000,,,20,3687,"샤워장, 화장실",방문,http://www.dhsisul.org/,강원도 동해시 덕골길10,강원도 동해시 천곡동 363-1번지,강원도 동해시시설관리공단,체육시설팀,033-539-3560,http://www.dhsisul.org/,37.5166171,129.1008071,2018-01-01,
종합경기장 풋살구장,동해웰빙스포츠타운,풋살경기장,무휴,06:00,22:00,06:00,20:00,Y,1,10000,,,15,976,,인터넷,http://www.dhsisul.org/,강원도 동해시 덕골길10,강원도 동해시 천곡동 363-1번지,강원도 동해시시설관리공단,체육시설팀,033-539-3560,http://www.dhsisul.org/,37.5142321,129.100193,2018-01-01,
종합경기장 보조경기장,동해웰빙스포츠타운,축구장,무휴,06:00,22:00,06:00,20:00,Y,2,50000,1,15000,30,11830,"방송실, 화장실",인터넷,http://www.dhsisul.org/,강원도 동해시 덕골길10,강원도 동해시 천곡동 363-1번지,강원도 동해시시설관리공단,체육시설팀,033-539-3560,http://www.dhsisul.org/,37.5162811,129.0998201,2018-01-01,
종합경기장 축구전용구장,동해웰빙스포츠타운,축구장,무휴,06:00,22:00,06:00,20:00,Y,2,50000,1,15000,30,24000,"화장실, 선수대기실, 준비실",인터넷,http://www.dhsisul.org/,강원도 동해시 덕골길10,강원도 동해시 천곡동 363-1번지,강원도 동해시시설관리공단,체육시설팀,033-539-3560,http://www.dhsisul.org/,37.5159381,129.1021291,2018-01-01,
구리시체육관,체육관,다목적경기장,없음,06:00,22:00,06:00,22:00,Y,2,1000,2,1000,1018,2449,샤워실2+락카룸1,방문,체육관전경.jpg,경기도 구리시 체육관로 131,경기도 구리시 교문동 3-2번지,경기도 구리시청,평생학습과,031-550-2591,없음,37.596004,127.136447,2018-02-19,
구리시배드민턴장,배드민턴장,배드맨턴장,매월 둘째주 목요일,06:00,22:00,06:00,22:00,Y,2,1000,2,1000,100,938,샤워실2+락카룸1,방문,배드민턴장_전경.JPG,경기도 구리시 체육관로 131,경기도 구리시 교문동 3-2번지,경기도 구리시청,평생학습과,031-550-2518,없음,37.596004,127.136447,2018-02-19,
구리왕숙체육공원,왕숙체육공원,축구장,없음,06:00,22:00,06:00,22:00,Y,2,40000,2,40000,656,17289,바닥분수+야외운동기구,인터넷+방문+전화,구리왕숙체육공원 사진.jpg,경기도 구리시 왕숙천로 701,경기도 구리시 사노동 39-6번지,경기도 구리시청,평생학습과,031-528-2964,http://www.gurisp.co.kr/,37.635273,127.146906,2018-02-19,
구리왕숙체육공원,왕숙체육공원,테니스장,없음,06:00,22:00,06:00,22:00,Y,2,8000,2,8000,656,17289,바닥분수+야외운동기구,인터넷+방문+전화,구리왕숙체육공원 사진.jpg,경기도 구리시 왕숙천로 701,경기도 구리시 사노동 39-6번지,경기도 구리시청,평생학습과,031-528-2964,http://www.gurisp.co.kr/,37.635273,127.146906,2018-02-19,
구리국민체육센터,국민체육센터,배드맨턴장,매월 둘째주 화요일,06:00,22:00,06:00,22:00,Y,2,1000,2,1000,200,1500,탈의실2+샤워실2,방문,구리국민체육센터_전경.jpg,경기도 구리시 인창2로 27번길11,경기도 구리시 인창동 622-28번지,경기도 구리시청,평생학습과,031-550-2965,없음,37.605165,127.129612,2018-02-19,
구리국민체육센터,국민체육센터,기타,매월 둘째주 화요일,06:00,22:00,06:00,22:00,Y,2,1000,2,1000,200,1500,탈의실2+샤워실2,방문,구리국민체육센터_전경.jpg,경기도 구리시 인창2로 27번길11,경기도 구리시 인창동 622-28번지,경기도 구리시청,평생학습과,031-550-2965,없음,37.605165,127.129612,2018-02-19,
코스모스 대극장,구리아트홀,기타,매주 월요일,06:00,23:00,06:00,23:00,Y,3,,1,,600,639,프로젝터+조명+우퍼 등,인터넷,http://www.gart.go.kr/_site/_pages/sub0502.jsp,경기도 구리시 아차산로 453,경기도 구리시 교문동 390번지,경기도 구리시청,공연기획팀,031-550-8812,http://www.gart.go.kr/,37.595652,127.129883,2018-02-19,
유채꽃 소극장,구리아트홀,기타,매주 월요일,06:00,23:00,06:00,23:00,Y,3,,1,,280,186,프로젝터+조명+우퍼 등,인터넷,http://www.gart.go.kr/_site/_pages/sub0502.jsp,경기도 구리시 아차산로 453,경기도 구리시 교문동 390번지,경기도 구리시청,공연기획팀,031-550-8812,http://www.gart.go.kr/,37.595652,127.129883,2018-02-19,
제천체육관,제천체육관,체육관,공휴일,05:00,22:00,05:00,18:00,Y,2,,2,,3300,6735,"방송시설, 조명시설,주차시설","방문,전화",,충청북도 제천시 숭의로 85,충청북도 제천시 화산동 128-1,충청북도 제천시청,충청북도 제천시청 체육진흥과,043-641-5594,www.jecheon.go.kr,37.137833,128.208299,2018-02-19,
제천종합운동장,제천종합운동장,축구장,공휴일,09:00,22:00,05:00,18:00,Y,3,,3,,25000,22120,"방송시설, 조명시설,주차시설","방문,전화",,충청북도 제천시 숭의로 101,충청북도 제천시 화산동 1,충청북도 제천시청,충청북도 제천시청 체육진흥과,043-641-5599,www.jecheon.go.kr,37.066861,128.192203,2018-02-19,
제천축구센터,제천축구센터,축구장,공휴일,09:00,18:00,09:00,18:00,Y,3,,3,,5000,1766,"방송시설, 조명시설,주차시설","방문,전화",,충청북도 제천시 북부로 1860,충청북도 제천시 신동 653,충청북도 제천시청,충청북도 제천시청 체육진흥과,043-641-4897,www.jecheon.go.kr,37.11806198,128.174167,2018-02-19,
문화회관,문화회관,강당,공휴일,09:00,18:00,09:00,18:00,Y,4,,1,,650,818,"음향,조명,빔프로젝터","방문,팩스",,충청북도 제천시 의림대로6길32충청북도 제천시 화산동 415,,충청북도 제천시청,충청북도 제천시청 문화예술과,043-641-5552,www.jecheon.go.kr,37.130526,128.210572,2018-02-19,
야외음악당,야외음악당,강당,공휴일,09:00,18:00,09:00,18:00,Y,4,,1,,13000,17800,"조명,음향","방문,팩스",,충청북도 제천시 숭의로 85,충청북도 제천시 화산동 128-1,충청북도 제천시청,충청북도 제천시청 문화예술과,043-641-5552,www.jecheon.go.kr,37.130819,128.215368,2018-02-19,
논산시국민체육센터,논산시 국민체육센터 체육관,체육관,매주 월요일,09:00,21:00,09:00,18:00,Y,2,25000,2,25000,886,1497,"음향장비, 에어컨, 무대시설, 수납식관람석","방문, 전화",,충청남도 논산시 논산대로 382(관촉동),,충청남도 논산시청,공공시설사업소,041-746-8403,www.nonsan.go.kr,36.1960062,127.1033494,2018-02-13,
논산시문화예술회관 대공연장,논산시문화예술회관,다목적실,연중무휴,09:00,22:00,09:00,22:00,Y,4,100000,,,577,732,"빔프로젝터, 무대조명기기, 무대음향기기 등","방문, 전화",http://arthall.nonsan.go.kr/arthall.do?mno=sub01_03,충청남도 논산시 시민로 270,,충청남도 논산시청,문화예술과,041-746-5950,http://arthall.nonsan.go.kr,36.1909528,127.0951017,2018-02-13,
논산시공설운동장,논산시 공설운동장,다목적경기장,연중무휴,07:00,22:00,07:00,22:00,Y,12,600000,,,20000,17943,"음향, 조명, 탁구장, 농구장 등","방문, 전화",,충청남도 논산시 체육로 110,,충청남도 논산시청,공공시설사업소,041-746-8412,www.nonsan.go.kr,36.1948404,127.1037663,2018-02-13,
덕계공원발물놀이시설,덕계근린공원,기타,우천시,11:00,17:00,11:00,17:00,N,,,,,500,333,화장실2개소,-,-,경기도 양주시 평화로 1435번길 56,경기도 양주시 덕계동 467번지,양주시시설관리공단,환경관리팀,031-828-9737,www.yjfmc.or.kr,37.821393,127.046718,2018-02-19,
봉우공원발물놀이시설,봉우근린공원,기타,우천시,11:00,17:00,11:00,17:00,N,,,,,500,374,화장실1개소,-,-,경기도 양주시 고암길 306-31,경기도 양주시 덕정동 208-12번지,양주시시설관리공단,환경관리팀,031-828-9737,www.yjfmc.or.kr,37.836261,127.068472,2018-02-19,
광적생활체육공원발물놀이터,광적생활체육공원,기타,매주 월요일,11:00,17:00,11:00,17:00,N,,,,,400,576,탈의실,-,-,경기도 양주시 광적면 부흥로618번길 303,경기도 양주시 광적면 광석리 132번지,양주시시설관리공단,체육관광팀,031-828-9772,www.yjfmc.or.kr,37.813072,126.972232,2018-02-19,
진영맑은물순환센터,테니스장,체육관,없음,09:00,18:00,09:00,18:00,N,,무료,,,32,1147,테니스 네트(2개),전화,,경상남도 김해시 진영읍 한림로1130(본산리),,경상남도 김해시도시개발공사,진영맑은물순환센터,055-346-0452,www.ghdc.or.kr,35.3197536,128.7467642,2018-02-18,
진영맑은물순환센터,풋살경기장,체육관,없음,09:00,18:00,09:00,18:00,N,,무료,,,32,819,"의자,파고라,미니골대,족구장네트",전화,,경상남도 김해시 진영읍 한림로1130(본산리),,경상남도 김해시도시개발공사,진영맑은물순환센터,055-346-0452,www.ghdc.or.kr,35.3197536,128.7467642,2018-02-18,
대동맑은물순환센터,체력단련장,체육관,없음,09:00,18:00,09:00,18:00,N,,무료,,,10,122,"체력단련기구3개,파고라1개",전화,,경상남도 김해시 대동면 예안리 1473-4,,경상남도 김해시도시개발공사,대동맑은물순환센터,055-329-6054,www.ghdc.or.kr,35.2280883,128.976085,2018-02-18,
화목맑은물순환센터,족구장,체육관,없음,09:00,18:00,09:00,18:00,N,,무료,,,20,300,족구장네트,전화,,경상남도 김해시 김해대로 2272번길 642(화목동),,경상남도 김해시도시개발공사,화목맑은물순환센터,055-329-6050,www.ghdc.or.kr,35.176227,128.8757228,2018-02-18,
화목맑은물순환센터,인라인스케이트장,체육관,없음,09:00,18:00,09:00,18:00,N,,무료,,,20,855,"의자,파고라",전화,,경상남도 김해시 김해대로 2272번길 642(화목동),,경상남도 김해시도시개발공사,화목맑은물순환센터,055-329-6050,www.ghdc.or.kr,35.176227,128.8757228,2018-02-18,
화목맑은물순환센터,풋살경기장,체육관,없음,09:00,18:00,09:00,18:00,N,,무료,,,20,908,"의자,파고라,미니골대",전화,,경상남도 김해시 김해대로 2272번길 642(화목동),,경상남도 김해시도시개발공사,화목맑은물순환센터,055-329-6050,www.ghdc.or.kr,35.176227,128.8757228,2018-02-18,
동해체육관 실내사격장,동해웰빙스포츠타운,기타,매주 월요일,13:00,22:00,09:00,18:00,Y,1,2000,,,30,869,화장실,방문,http://www.dhsisul.org/,강원도 동해시 덕골길10,강원도 동해시 천곡동 363-1번지,강원도 동해시시설관리공단,체육시설팀,033-539-3560,http://www.dhsisul.org/,37.5175911,129.0994171,2018-01-01,
국민체육센터 헬스장,동해웰빙스포츠타운,기타,매주 일요일,05:00,22:00,05:00,18:00,Y,1,2500,,,30,207,"샤워장, 화장실",방문,http://www.dhsisul.org/,강원도 동해시 덕골길10,강원도 동해시 천곡동 363-1번지,강원도 동해시시설관리공단,체육시설팀,033-539-3560,http://www.dhsisul.org/,37.5176091,129.0982271,2018-01-01,
국민체육센터 다목적실,동해웰빙스포츠타운,다목적경기장,매주 일요일,05:00,22:00,05:00,18:00,Y,1,2000,,,30,144,화장실,방문,http://www.dhsisul.org/,강원도 동해시 덕골길10,강원도 동해시 천곡동 363-1번지,강원도 동해시시설관리공단,체육시설팀,033-539-3560,http://www.dhsisul.org/,37.5176091,129.0982271,2018-01-01,
동해시평생학습센터 대강당,평생교육센터,강당,매주 토.일,09:00,18:00,18:00,18:00,Y,2,100000,1,50000,330,369,"빔프로젝트 1대, 노트북, 책상 1개, 의자 330개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 해안로 535,강원도 동해시 발한동 241-9번지,강원도 동해시청,평생교육센터,033-539-8140,http://www.donghaelib.go.kr,37.5151771,129.1235491,2018-01-01,
동해시평생학습센터 제6강의실,평생교육센터,강의실,매주 토.일,09:00,18:00,18:00,18:00,Y,2,20000,1,10000,60,121,"빔프로젝트 1대, 노트북, 책상 30개, 의자 30개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 해안로 535,강원도 동해시 발한동 241-9번지,강원도 동해시청,평생교육센터,033-539-8140,http://www.donghaelib.go.kr,37.5151771,129.1235491,2018-01-01,
동해시평생학습센터 전시실,평생교육센터,전시실,매주  토.일,09:00,18:00,18:00,18:00,Y,2,20000,1,10000,10,122,"책상 5개, 의자 10개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 효자로 649,강원도 동해시 동회동 229번지,강원도 동해시청,평생교육센터,033-539-8140,http://www.donghaelib.go.kr,37.5482221,129.1058721,2018-01-01,
동해시립발한도서관 강의실,동해시립발한도서관,강의실,매주 월요일,10:00,22:00,00:00,00:00,N,,,,,40,86,"빔프로젝트 1대, 노트북, 책상 20개, 의자 40개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 해안로 535,강원도 동해시 발한동 241-9번지,강원도 동해시청,평생교육센터,033-530-2480,http://www.donghaelib.go.kr,37.5482221,129.1058721,2018-01-01,
온양읍주민자치센터,온양읍행정복지센터,기타,"일요일, 공휴일",09:00,21:00,09:00,16:00,Y,,,,,,,전동런닝머신 외 18종 29점,,,울산광역시 울주군 온양읍 남창1길 13,,울산광역시 울주군 온양읍행정복지센터,,,,35.419793,129.281347,2018-02-14,
동해시립발한도서관 시청각실,동해시립발한도서관,강의실,매주 월요일,10:00,22:00,00:00,00:00,N,,,,,30,72,"빔프로젝트 1대, 노트북, 책상 15개, 의자 30개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 해안로 535,강원도 동해시 발한동 241-9번지,강원도 동해시청,평생교육센터,033-530-2480,http://www.donghaelib.go.kr,37.5482221,129.1058721,2018-01-01,
동해시립북삼도서관 강의실,동해시립북삼도서관,강의실,매주 금요일,10:00,22:00,00:00,00:00,N,,,,,30,58,"책상 6개, 의자 30개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 효자로 649,강원도 동해시 동회동 229번지,강원도 동해시청,평생교육센터,033-530-2490,http://www.donghaelib.go.kr,37.4926071,129.1045171,2018-01-01,
동해시립북삼도서관 시청각실,동해시립북삼도서관,강의실,매주 금요일,10:00,22:00,00:00,00:00,N,,,,,40,75,"빔프로젝트 1대, 노트북, 책상 20개, 의자 40개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 효자로 649,강원도 동해시 동회동 229번지,강원도 동해시청,평생교육센터,033-530-2490,http://www.donghaelib.go.kr,37.4926071,129.1045171,2018-01-01,
동해시립북삼도서관 문화사랑방,동해시립북삼도서관,강의실,매주 금요일,10:00,22:00,00:00,00:00,N,,,,,24,48,"책상 4개,  의자 24개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 효자로 649,강원도 동해시 동회동 229번지,강원도 동해시청,평생교육센터,033-530-2490,http://www.donghaelib.go.kr,37.4926071,129.1045171,2018-01-01,
무릉작은도서관 문화사랑방,무릉작은도서관,강의실,매주 금요일,10:00,22:00,00:00,00:00,N,,,,,12,8,"DVD 플레이어, 대형TV, 책상 6개, 의자 12개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 무릉1길 4,강원도 동해시 이로동 183번지,강원도 동해시청,평생교육센터,033-530-2490,http://www.donghaelib.go.kr,37.4882481,129.0682961,2018-01-01,
이도작은도서관 문화사랑방,이도작은도서관,강의실,매주 금요일,10:00,22:00,00:00,00:00,N,,,,,12,8,"DVD 플레이어, 대형TV, 책상 6개, 의자 12개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 이원길 151,강원도 동해시 이도동 252번지,강원도 동해시청,평생교육센터,033-530-2490,http://www.donghaelib.go.kr,37.4800551,129.1088311,2018-01-01,
등대작은도서관 문화사랑방,등대작은도서관,강의실,매주 월요일,10:00,22:00,00:00,00:00,N,,,,,12,10,"DVD 플레이어, 대형TV, 책상 6개, 의자 12개","방문, 전화",http://www.donghaelib.go.kr,강원도 동해시 논골길 78 묵호동주민센터 2층,강원도 동해시 묵호진동 1-44번지,강원도 동해시청,평생교육센터,033-530-2480,http://www.donghaelib.go.kr,37.5586451,129.1141341,2018-01-01,
온산읍주민자치센터,온산읍행정복지센터,기타,공휴일,09:00,22:00,09:00,18:00,Y,,,,,,,"런닝머신, 싸이클, 요가매트, 다이어트머신",,,울산광역시 울주군 온산읍 신온7길 69,,울산광역시 울주군 온산읍행정복지센터,,,,35.429519,129.310022,2018-02-14,
동해시문화예술회관 대공연장,동해시문화예술회관,강당,무휴,08:00,22:00,08:00,22:00,Y,24,200000,,,567,756,"분장실, 화장실, 출연자 대기실",방문,http://branch.dh.go.kr/branch/pages/bsub06.htm?part=culture,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1번지,강원도 동해시청,공보문화담당관실,033-530-2443,http://branch.dh.go.kr/branch/pages/bmain.htm?part=culture,37.5264081,129.1151961,2018-01-01,
동해시문화예술회관 소공연장,동해시문화예술회관,강당,무휴,08:00,22:00,08:00,22:00,Y,24,80000,,,200,230,화장실,방문,http://branch.dh.go.kr/branch/pages/bsub06.htm?part=culture,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1번지,강원도 동해시청,공보문화담당관실,033-530-2443,http://branch.dh.go.kr/branch/pages/bmain.htm?part=culture,37.5264081,129.1151961,2018-01-01,
동해시문화예술회관 대전시실,동해시문화예술회관,전시실,무휴,09:00,19:00,09:00,19:00,Y,24,80000,,,,197,화장실,방문,http://branch.dh.go.kr/branch/pages/bsub06.htm?part=culture,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1번지,강원도 동해시청,공보문화담당관실,033-530-2443,http://branch.dh.go.kr/branch/pages/bmain.htm?part=culture,37.5264081,129.1151961,2018-01-01,
동해시문화예술회관 제1전시실,동해시문화예술회관,전시실,무휴,09:00,19:00,09:00,19:00,Y,24,20000,,,,91,화장실,방문,http://branch.dh.go.kr/branch/pages/bsub06.htm?part=culture,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1번지,강원도 동해시청,공보문화담당관실,033-530-2443,http://branch.dh.go.kr/branch/pages/bmain.htm?part=culture,37.5264081,129.1151961,2018-01-01,
동해시문화예술회관 제2전시실,동해시문화예술회관,전시실,무휴,09:00,19:00,09:00,19:00,Y,24,15000,,,,65,화장실,방문,http://branch.dh.go.kr/branch/pages/bsub06.htm?part=culture,강원도 동해시 평원로 15,강원도 동해시 천곡동 809-1번지,강원도 동해시청,공보문화담당관실,033-530-2443,http://branch.dh.go.kr/branch/pages/bmain.htm?part=culture,37.5264081,129.1151961,2018-01-01,
기장군청소년수련관,기장군청소년수련관,강당,명절연휴,09:00,18:00,09:00,18:00,Y,1,"123,000",1,,160,3662,음향장비,"방문,전화",http://www.gijangcmc.or.kr/youth/05_intro/01_intro.asp,부산광역시 기장군 정관읍 달산리 417-22,부산광역시 기장군 정관읍 달산리 417-22,기장군도시관리공단,기장군청소년수련관,051-792-4710,http://gijangcmc.or.kr,35.321664,129.191099,2018-02-14,
어울아트센터 소전시실,어울아트센터,전시실,없음,09:00,22:00,09:00,22:00,Y,3,5500,1,5500,20,48,"전시 와이어, 조명",방문.전화,http://www.bukarts.org/sub1/sub1_4_12.php,대구광역시 북구 구암로47 (관음동),,대구광역시 북구청,어울아트센터,053-665-3085,http://www.bukarts.org,35.934767,128.546640,2018-02-13,
논산시문화예술회관 소공연장,논산시문화예술회관,다목적실,연중무휴,09:00,22:00,09:00,22:00,Y,4,60000,,,180,273,"빔프로젝터, 무대조명기기, 무대음향기기 등","방문, 전화",http://arthall.nonsan.go.kr/arthall.do?mno=sub01_03,충청남도 논산시 시민로 270,,충청남도 논산시청,문화예술과,041-746-5950,http://arthall.nonsan.go.kr,36.1909528,127.0951017,2018-02-13,
논산시문화예술회관 대전시실,논산시문화예술회관,전시실,연중무휴,09:00,18:00,09:00,18:00,Y,9,35000,,,,272,,"방문, 전화",http://arthall.nonsan.go.kr/arthall.do?mno=sub01_03,충청남도 논산시 시민로 270,,충청남도 논산시청,문화예술과,041-746-5950,http://arthall.nonsan.go.kr,36.1909528,127.0951017,2018-02-13,
논산시문화예술회관 소전시실,논산시문화예술회관,전시실,연중무휴,09:00,18:00,09:00,18:00,Y,9,45000,,,,204,,"방문, 전화",http://arthall.nonsan.go.kr/arthall.do?mno=sub01_03,충청남도 논산시 시민로 270,,충청남도 논산시청,문화예술과,041-746-5950,http://arthall.nonsan.go.kr,36.1909528,127.0951017,2018-02-13,
논산시연무체육공원,연무체육공원,다목적경기장,공휴일,09:00,22:00,09:00,18:00,Y,,,,,500,,화장실,"방문, 전화",http://yeonmu.nonsan.go.kr/yeonmu.do?mno=sub02_06,충청남도 논산시 연무읍 연무로166번길 64,,충청남도 논산시청,연무읍,041-746-8985,http://yeonmu.nonsan.go.kr,36.1253318,127.0953321,2018-02-13,
경상북도교육연구원 대강당,대강당,강당,주중운영(주말 운영안함),09:00,18:00,00:00,00:00,Y,4,50000,4,100000,495,654,"빔프로젝터, 마이크, 냉 난방기","방문, 공문",없음,경상북도 안동시 강남로 152,경상북도 안동시 정하동 385,경상북도교육연구원,총무부,054-840-2111,http://www.gber.kr,36.551243,128.718824,2018-01-12,
경상북도교육연구원 회의실,회의실,회의실,주중운영(주말 운영안함),09:00,18:00,00:00,00:00,Y,4,30000,4,60000,80,166,"빔프로젝터, 마이크, 냉 난방기","방문, 공문",없음,경상북도 안동시 강남로 152,경상북도 안동시 정하동 385,경상북도교육연구원,총무부,054-840-2111,http://www.gber.kr,36.551243,128.718824,2018-01-12,
경상북도교육연구원 테니스장,테니스장,테니스장,공휴일,18:00,22:00,00:00,00:00,Y,4,30000,4,60000,500,1200,야간조명,"방문, 공문",없음,경상북도 안동시 강남로 152,경상북도 안동시 정하동 385,경상북도교육연구원,총무부,054-840-2111,http://www.gber.kr,36.550954,128.717947,2018-01-12,
대화도서관 열람실,평창군립대화도서관,기타,매주월요일,09:00,22:00,09:00,22:00,N,,,,,80,790,"PC15,빔프로젝터1",방문.전화,,강원도 평창군 대화면 남산2길 27,,강원도 평창군청,평창군 문화관광과,033-336-3618,,37.501265,128.457798,2017-12-27,
기장문화예절학교,기장문화예절학교,강의실,관공서휴일에 관한 규정에 따름,09:00,22:00,09:00,22:00,Y,1,"20,000",1,,150,330,음향장비,사용신청서 접수,http://www.gijangcmc.or.kr/gcdyc/05_intro/01_intro.asp,부산광역시 기장군 장안읍 월내리 579,부산광역시 기장군 장안읍 월내리 579,기장군도시관리공단,기장문화예절학교,051-792-4720,http://gijangcmc.or.kr,35.326737,129.269158,2018-02-14,
기장문화예절학교,기장문화예절학교,기타,관공서휴일에 관한 규정에 따름,09:00,18:00,09:00,18:00,Y,1,"20,000",1,,40,99,없음,사용신청서 접수,http://www.gijangcmc.or.kr/gcdyc/05_intro/01_intro.asp,부산광역시 기장군 장안읍 월내리 579,부산광역시 기장군 장안읍 월내리 579,기장군도시관리공단,기장문화예절학교,051-792-4720,http://gijangcmc.or.kr,35.326737,129.269158,2018-02-14,
기장문화예절학교,기장문화예절학교,기타,관공서휴일에 관한 규정에 따름,14:00,11:00,14:00,11:00,Y,1,"86,000",24,,190,,"샤워장, 화장실",사용신청서 접수,http://www.gijangcmc.or.kr/gcdyc/05_intro/01_intro.asp,부산광역시 기장군 장안읍 월내리 579,부산광역시 기장군 장안읍 월내리 579,기장군도시관리공단,기장문화예절학교,051-792-4720,http://gijangcmc.or.kr,35.326737,129.269158,2018-02-14,
기장문화예절학교,기장문화예절학교,기타,관공서휴일에 관한 규정에 따름,09:00,18:00,09:00,18:00,Y,0,0,0,0,0,310,전통놀이기구,사용신청서 접수,http://www.gijangcmc.or.kr/gcdyc/05_intro/01_intro.asp,부산광역시 기장군 장안읍 월내리 579,부산광역시 기장군 장안읍 월내리 579,기장군도시관리공단,기장문화예절학교,051-792-4720,http://gijangcmc.or.kr,35.326737,129.269158,2018-02-14,
